id,fuel_percent,fuel_liters,available,model_id
66753,69.0,34.50,True,59
66768,50.0,25.00,True,59
66773,84.0,42.00,True,59
66776,93.0,46.50,True,59
66799,71.0,35.50,True,59
66817,37.0,18.50,True,59
66846,46.0,23.00,True,59
66847,42.0,21.00,True,59
66848,71.0,35.50,True,59
66851,87.0,43.50,True,59
66864,31.0,15.50,True,59
66865,89.0,44.50,True,59
66876,76.0,38.00,True,59
68638,65.0,32.50,True,59
68650,89.0,44.50,True,59
68654,82.0,41.00,True,59
68655,59.0,29.50,True,59
68666,57.0,28.50,True,59
68670,85.0,42.50,True,59
68678,46.0,23.00,True,59
68681,72.0,36.00,True,59
68694,71.0,35.50,True,59
68702,57.0,28.50,True,59
68708,91.0,45.50,True,59
68721,99.0,49.50,True,59
68735,48.0,24.00,True,59
68742,42.0,21.00,True,59
68744,37.0,18.50,True,59
68764,46.0,23.00,True,59
68773,71.0,35.50,True,59
68779,65.0,32.50,True,59
68785,41.0,20.50,True,59
68808,89.0,44.50,True,59
68813,72.0,36.00,True,59
68819,56.0,28.00,True,59
68823,41.0,20.50,True,59
68846,50.0,25.00,True,59
68874,57.0,28.50,True,59
68879,50.0,25.00,True,59
68896,87.0,43.50,True,59
68948,63.0,31.50,True,59
68965,95.0,47.50,True,59
68973,87.0,43.50,True,59
68978,26.0,13.00,True,59
71286,97.0,48.50,True,59
71290,31.0,15.50,True,59
71348,71.0,35.50,True,59
71362,69.0,34.50,True,59
71370,44.0,22.00,True,59
71404,29.0,14.50,True,59
73562,52.0,26.00,True,59
73578,35.0,17.50,True,59
69116,79.0,39.50,True,60
69122,38.0,19.00,True,60
69154,33.0,16.50,True,60
69181,91.0,45.50,True,60
69182,33.0,16.50,True,60
69740,33.0,16.50,True,60
69745,90.0,45.00,True,60
69835,64.0,32.00,True,60
75860,33.0,16.50,True,60
76027,88.0,44.00,True,60
78411,55.0,27.50,True,60
78424,42.0,21.00,True,60
78428,25.0,12.50,True,60
78449,35.0,17.50,True,60
78489,38.0,19.00,True,60
78596,33.0,16.50,True,60
78620,59.0,29.50,True,60
